date,open,close,high,low,volume,amount,up,down
2010-01-20,3252.04,3151.85,3255.13,3148.33,172555600,195394207744,108,791
2010-01-21,3154.19,3158.86,3176.15,3126.9,132639600,145694261248,571,321
2010-01-22,3118.72,3128.59,3147.83,3062.63,156427000,167218413568,163,741
2010-01-25,3103.32,3094.41,3137,3092.93,93994000,98070519808,179,708
2010-01-26,3094.85,3019.39,3107.2,3001.96,109494600,112348086272,56,856
2010-01-27,3020.54,2986.61,3028.65,2972.63,93150200,93409853440,255,619
2010-01-28,2985.21,2994.14,3006.04,2963.89,85167100,87828856832,726,149
2010-01-29,2979.74,2989.29,3024.85,2968.45,91271100,97625178112,503,360
2010-02-01,2981.37,2941.36,2981.37,2912.89,100564300,105912139776,298,605
2010-02-02,2955.75,2934.71,2990.75,2930.56,93734900,99637895168,326,557
2010-02-03,2945.03,3003.83,3005.13,2890.02,119005300,122261766144,734,168
2010-02-04,2983.05,2995.31,3015.13,2968.68,111441900,116737007616,568,311
2010-02-05,2936.2,2939.4,2959.23,2918.91,107746100,112754032640,158,741
2010-02-08,2936.45,2935.17,2954.27,2922.19,68452300,74134929408,483,389
2010-02-09,2932.09,2948.84,2957.47,2929.21,69093600,69304770560,532,353
2010-02-10,2967.14,2982.5,2983.18,2958.22,62322400,68177453056,753,130
2010-02-11,2985.08,2985.5,3001.64,2976.08,62462000,65796304896,319,550
2010-02-12,2996.09,3018.13,3018.86,2993.44,60694900,67723890688,813,80
2010-02-22,3016.7,3003.4,3026.66,3002.81,75193800,79980085248,416,461
2010-02-23,2998.91,2982.58,2998.91,2938.75,89011500,99815440384,531,358
2010-02-24,2964.98,3022.18,3023.74,2955.07,99625900,106781057024,849,54
2010-02-25,3026.66,3060.62,3063,3022.37,130544400,140960595968,845,50
2010-02-26,3053.5,3051.94,3067.52,3041.69,109599800,122741448704,366,500
2010-03-01,3057.01,3087.84,3093.09,3054.55,120949900,132858732544,738,150
2010-03-02,3089.71,3073.11,3095.99,3060.96,113653800,125959733248,334,541
2010-03-03,3074.1,3097.01,3098.46,3061.47,123134000,137578414080,711,168
2010-03-04,3098.07,3023.37,3102.4,3016.22,136744500,146744852480,61,844
2010-03-05,3026.64,3031.06,3044.16,3011.09,98280100,106750656512,547,324
2010-03-08,3036.41,3053.23,3058.83,3030.9,85598000,93590028288,725,159
2010-03-09,3053.26,3069.14,3084.85,3028.69,99564000,108844580864,433,440
2010-03-10,3067.15,3048.93,3085.99,3034.74,90553100,99858587648,204,686
2010-03-11,3050.64,3051.28,3070.94,3025.31,87850500,97785479168,288,594
2010-03-12,3051.47,3013.41,3057.52,3011.97,77895500,85619236864,120,776
2010-03-15,3010.72,2976.94,3013.52,2963.49,73318200,76588359680,255,631
2010-03-16,2974.49,2992.84,2993.84,2963.44,64986700,70928498688,713,176
2010-03-17,2999.82,3050.48,3050.76,2994.89,96339600,106714079232,901,10
2010-03-18,3053.16,3046.09,3063.59,3035.02,98192900,109864443904,479,391
2010-03-19,3046.75,3067.75,3069.66,3031.02,102391800,104729190400,694,174
2010-03-22,3069.66,3074.58,3083.35,3061.76,105968200,114941353984,549,321
2010-03-23,3076.96,3053.13,3082.97,3051.21,101281800,109922451456,253,643
2010-03-24,3058.93,3056.81,3076.75,3052.21,98158300,104740421632,435,440
2010-03-25,3051.36,3019.18,3051.36,3012.31,97324400,106404888576,168,727
2010-03-26,3017.21,3059.72,3067.71,3009.91,104093500,110540046336,800,92
2010-03-29,3076.05,3123.8,3130.28,3071.69,151903400,158427611136,667,213
2010-03-30,3123.83,3128.47,3132.58,3113.77,112628500,126808973312,523,355
2010-03-31,3129.57,3109.1,3130.11,3101.76,111534900,124511952896,363,528
2010-04-01,3111.93,3147.42,3148.34,3111.93,140784300,156081094656,823,78
2010-04-02,3154.77,3157.96,3159.6,3141.87,133339700,151580262400,503,371
2010-04-06,3170.61,3158.68,3177.97,3141.93,132234600,146262753280,480,403
2010-04-07,3156.31,3148.22,3161.08,3132.24,114137700,128495083520,400,484
2010-04-08,3143.45,3118.71,3143.83,3110.26,126899400,143865167872,356,528
2010-04-09,3118.93,3145.35,3146.46,3114.79,114165500,135452893184,752,139
2010-04-12,3151.89,3129.26,3156.21,3111.9,147730700,176520118272,489,409
2010-04-13,3129.69,3161.25,3173.63,3101.48,161433700,187820982272,316,591
2010-04-14,3161.55,3166.18,3167.66,3145.55,114888700,139342725120,636,255
2010-04-15,3168.14,3164.97,3181.66,3135.99,116473200,138487431168,252,621
2010-04-16,3159.67,3130.3,3159.67,3121.37,95126100,104799354880,309,544
2010-04-19,3096.78,2980.3,3096.78,2977.77,153147900,160088260608,33,861
2010-04-20,2980.08,2979.53,2998.91,2941.35,118165300,127159484416,561,304
2010-04-21,2984.62,3033.28,3034.33,2972.1,131151400,148225933312,891,18
2010-04-22,3021.29,2999.48,3023.64,2978.46,136997700,155532705792,376,504
2010-04-23,2995.57,2983.54,3015.63,2966.78,117602000,138032332800,311,560
2010-04-26,2988.08,2969.5,2996.83,2965.83,104096100,118656204800,394,484
2010-04-27,2962.15,2907.93,2962.15,2866.34,124398800,133424439296,119,768
2010-04-28,2883.17,2900.33,2916.68,2865.47,95519300,106520698880,342,544
2010-04-29,2912.2,2868.43,2928.93,2867.94,99942700,113842536448,120,775
2010-04-30,2867.65,2870.61,2875.81,2820.95,103631900,108077645824,226,671
2010-05-04,2821.35,2835.28,2862.56,2809.13,79010400,80475332608,347,552
2010-05-05,2804.51,2857.15,2857.29,2770.33,112685500,116421984256,804,102
2010-05-06,2838.95,2739.7,2838.95,2735,113710800,115810107392,62,844
2010-05-07,2685.99,2688.38,2732.18,2665.81,111599500,111011143680,196,686
2010-05-10,2690.86,2698.76,2713.06,2646.59,99885500,97794236416,413,466
2010-05-11,2745.6,2647.57,2751.07,2638.53,116181900,104271421440,100,794
2010-05-12,2628.02,2655.71,2668.12,2604.2,106781800,93549084672,283,601
2010-05-13,2653.58,2710.51,2711.07,2646.9,103204100,93473619968,822,68
2010-05-14,2692.1,2696.63,2712.86,2677.19,88118800,84334321664,437,434
2010-05-17,2663.88,2559.93,2663.88,2557.24,102158200,90516406272,18,887
2010-05-18,2555.14,2594.78,2603.32,2529.63,103796600,87281336320,610,241
2010-05-19,2581.63,2587.81,2623.96,2554.98,90466600,78977949696,330,540
2010-05-20,2571.54,2555.94,2609.64,2551.45,82742600,73910730752,129,741
2010-05-21,2492.57,2583.52,2584.45,2481.97,103033600,89265422336,742,125
2010-05-24,2596.32,2673.42,2680.49,2596.32,133322000,124403539968,903,1
2010-05-25,2654.36,2622.63,2659.74,2609.09,106011400,103243210752,249,649
2010-05-26,2620.85,2625.79,2644.94,2610.51,81570400,76555304960,492,362
2010-05-27,2615.1,2655.92,2662.08,2583.55,105685300,98495864832,849,39
2010-05-28,2680.4,2655.77,2686.54,2641.41,112506300,101415968768,407,443
2010-05-31,2647.87,2592.15,2665.39,2591.53,97390500,89185116160,73,817
2010-06-01,2577.76,2568.28,2598.9,2534.27,93289000,81840652288,164,735
2010-06-02,2548.54,2571.42,2572.34,2521.06,76092400,70990897152,736,151
2010-06-03,2575.77,2552.66,2596.14,2551.53,86990400,76458418176,211,673
2010-06-04,2536.23,2553.59,2556.97,2527.87,67027900,61720657920,594,268
2010-06-07,2508.33,2511.73,2527.1,2491.66,77361100,71384481792,253,653
2010-06-08,2510.08,2513.95,2531.88,2491.65,71810600,70326272000,670,212
2010-06-09,2523.88,2583.87,2589.47,2501.12,118099900,105209995264,889,22
2010-06-10,2561.55,2562.58,2581.05,2554.79,88318600,82079506432,323,551
2010-06-11,2574.9,2569.94,2590.98,2566.62,77718200,75181211648,377,489
2010-06-17,2588.97,2560.25,2595.51,2559.72,65401900,62786248704,288,562
2010-06-18,2556.6,2513.22,2568.86,2505.33,81520100,74230841344,61,818
2010-06-21,2517.29,2586.21,2587.34,2504.31,99521900,84003921920,858,45
2010-06-22,2579.63,2588.7,2598.35,2572.96,72428300,66888187904,595,262
2010-06-23,2576.34,2569.87,2593.67,2546.52,73981500,63488245760,275,613
2010-06-24,2563.64,2566.75,2586.9,2554.34,58237600,52107341824,404,465
2010-06-25,2556.54,2552.82,2572.83,2534.27,58477100,52749602816,149,728
2010-06-28,2550.65,2535.28,2561.48,2528.39,51436800,46192664576,153,715
2010-06-29,2534.5,2427.05,2541.14,2425.93,93473100,73376808960,14,875
2010-06-30,2409.54,2398.37,2411.44,2382.36,67271800,52558888960,168,721
2010-07-01,2393.95,2373.79,2410.77,2371.78,60830200,47582834688,205,683
2010-07-02,2371.32,2382.9,2386.4,2319.74,84619300,63295938560,447,452
2010-07-05,2358.76,2363.95,2378.09,2335.57,66879100,44746940416,255,625
2010-07-06,2358.28,2409.42,2409.78,2356.55,81002800,57628971008,898,15
2010-07-07,2407.67,2421.12,2421.68,2392.57,67152200,53658542080,716,150
2010-07-08,2429.68,2415.15,2436.28,2402,61164200,51353845760,291,583
2010-07-09,2416.58,2470.92,2485.6,2398.68,100721600,83453362176,909,3
2010-07-12,2468.54,2490.72,2501.02,2455.81,94617400,82893856768,760,123
2010-07-13,2468.69,2450.29,2468.69,2439.24,77640200,64591683584,154,752
2010-07-14,2456.1,2470.44,2494.59,2456.1,82805300,71385260032,762,136
2010-07-15,2465.99,2424.3,2487.24,2423.65,117510300,73453322240,96,805
2010-07-16,2414.68,2424.27,2428.46,2389.07,80934100,56986935296,579,283
2010-07-19,2399.58,2475.42,2484.19,2392.27,105709700,81159970816,894,19
2010-07-20,2477.75,2528.73,2530.33,2477.46,132382400,113278976000,901,5
2010-07-21,2529.62,2535.39,2553.45,2520.15,125845200,107158831104,429,436
2010-07-22,2525.98,2562.41,2563.24,2522.2,116699800,97057193984,830,59
2010-07-23,2566.85,2572.03,2579.52,2549.24,125865100,102633529344,341,541
2010-07-26,2576.37,2588.68,2589.48,2556.47,104540600,89753591808,744,116
2010-07-27,2581.59,2575.37,2588,2565.64,99031000,86319177728,306,574
2010-07-28,2574.32,2633.66,2636,2564.16,146193000,123955986432,890,4
2010-07-29,2635.05,2648.12,2656.41,2623.94,156572100,133051867136,589,280
2010-07-30,2642.85,2637.5,2643.03,2614.73,107066400,95401328640,338,532
2010-08-02,2635.81,2672.52,2675.76,2633.65,131925700,112156983296,874,18
2010-08-03,2678.79,2627,2681.79,2626.72,145598000,132380147712,130,767
2010-08-04,2620.5,2638.52,2638.9,2589.99,133762100,115185516544,642,216
2010-08-05,2636.24,2620.76,2640.59,2606.62,128048800,116955758592,422,449
2010-08-06,2618.71,2658.39,2659.41,2598.91,134772700,124990824448,851,44
2010-08-09,2656.36,2672.53,2676.09,2650.4,137100400,128442892288,730,152
2010-08-10,2672.79,2595.27,2675.31,2594.34,141535600,131287285760,42,862
2010-08-11,2587.61,2607.5,2618.45,2586.02,100286600,90162544640,722,154
2010-08-12,2584.92,2575.48,2608.76,2570.96,106481000,97353187328,186,709
2010-08-13,2576.69,2606.7,2607.03,2564.84,99461700,92588507136,836,59
2010-08-16,2603.79,2661.71,2665.31,2596.77,140100000,132298571776,886,6
2010-08-17,2663.18,2671.89,2677.57,2654.01,133731000,129954709504,622,246
2010-08-18,2674.5,2666.3,2687.76,2654.41,149040300,130297298944,291,592
2010-08-19,2669.43,2687.98,2701.93,2659.3,143211300,134944219136,444,414
2010-08-20,2677.02,2642.31,2683.29,2636.91,133844300,121635749888,111,787
2010-08-23,2637.82,2639.37,2656.12,2629.71,97571900,92616466432,509,356
2010-08-24,2636.53,2650.31,2667.17,2614.56,123896000,108055461888,723,163
2010-08-25,2634.95,2596.58,2645.5,2595.73,122661100,109756227584,149,748
2010-08-26,2604.88,2603.48,2616.96,2590.61,89344000,82918244352,608,253
2010-08-27,2602.5,2610.74,2613.49,2588.64,76986900,75938496512,508,354
2010-08-30,2622.27,2652.66,2656.36,2620.19,123486900,122287529984,874,19
2010-08-31,2644.79,2638.8,2647.25,2626.79,119586700,125726466048,430,446
2010-09-01,2641.05,2622.88,2662.88,2604.49,146411800,140401836032,219,674
2010-09-02,2646.89,2655.78,2659.98,2636.42,134796000,143355281408,826,69
2010-09-03,2658.13,2655.39,2660.54,2631.85,139408900,147162251264,486,404
2010-09-06,2667.2,2696.25,2698.6,2664.24,160113800,162059878400,545,337
2010-09-07,2698.22,2698.36,2704.93,2679.02,122360200,124792127488,560,320
2010-09-08,2687.71,2695.29,2695.84,2674.32,121039700,131883130880,494,381
2010-09-09,2698.64,2656.35,2698.64,2651.6,143897600,157340008448,170,728
2010-09-10,2657.23,2663.21,2667.84,2628.83,127547300,135542571008,521,351
2010-09-13,2665.65,2688.32,2696.67,2660.61,131056000,142229553152,766,117
2010-09-14,2694.07,2688.52,2703.78,2678.97,131193800,142244904960,404,486
2010-09-15,2688.39,2652.5,2688.49,2645.86,131545300,139548196864,186,703
2010-09-16,2646.92,2602.46,2653.27,2583.34,132904600,129965547520,123,774
2010-09-17,2607.55,2598.69,2615.08,2592.54,91459000,95490260992,405,457
2010-09-20,2601.48,2588.71,2607.35,2573.63,87931300,90694819840,260,599
2010-09-21,2593.76,2591.55,2601.1,2580.18,63513900,66941636608,486,388
2010-09-27,2600.54,2627.97,2629.04,2597.14,85235100,91411193856,850,31
2010-09-28,2625.33,2611.35,2625.33,2607.02,105640500,116434239488,317,578
2010-09-29,2608.92,2610.68,2634.12,2603.93,94705100,106652065792,275,617
2010-09-30,2599.71,2655.66,2656,2597.6,99965600,108229115904,813,95
2010-10-08,2681.25,2738.74,2747.8,2677.99,154842700,170309713920,867,41
2010-10-11,2755.03,2806.94,2823.6,2755.03,234107300,257132150784,643,260
2010-10-12,2795.76,2841.41,2843.43,2782.34,183345100,214009315328,476,405
2010-10-13,2842.14,2861.36,2862.03,2826.22,204856200,231006109696,520,371
2010-10-14,2881.55,2879.64,2919.41,2864.52,252315800,268050890752,164,748
2010-10-15,2863.74,2971.16,2971.16,2858.22,270345600,277649457152,520,368
2010-10-18,2985.46,2955.23,3026.1,2944.71,313731700,307579420672,368,530
2010-10-19,2949.63,3001.85,3002.37,2931.91,200031300,203737612288,829,79
2010-10-20,2947.51,3003.95,3041.15,2942.5,248942300,267939020800,416,483
2010-10-21,3009.22,2983.53,3018.24,2958.55,184194800,208327999488,474,421
2010-10-22,2976.75,2975.04,2997.62,2954.62,164470000,197210079232,485,398
2010-10-25,2979.71,3051.42,3051.54,2959.3,215013300,254642405376,869,41
2010-10-26,3065.84,3041.54,3073.38,3017.82,218718600,263036665856,475,419
2010-10-27,3031.65,2997.05,3056.4,2988.87,200353200,233282240512,245,643
2010-10-28,2989.29,2992.58,3007.01,2969.3,163821900,188158951424,399,495
2010-10-29,2993.3,2978.83,2996.77,2955.48,169299900,197660704768,495,391
2010-11-01,2986.89,3054.02,3054.05,2986.89,212136700,253939204096,848,55
2010-11-02,3061.63,3045.43,3089.57,3029.32,247101200,309231124480,389,509
2010-11-03,3044.02,3030.99,3069.07,3017.1,212275700,247261790208,326,575
2010-11-04,3035.37,3086.94,3087.42,3035.37,196342800,230744375296,851,61
2010-11-05,3129.87,3129.5,3142.59,3105.92,227970100,275354320896,704,192
2010-11-08,3140.4,3159.51,3160.7,3124.09,223699900,261671583744,761,138
2010-11-09,3159.02,3135,3159.02,3110.34,210097600,250331971584,429,474
2010-11-10,3120.44,3115.36,3124.26,3093.88,204678900,251614150656,416,480
2010-11-11,3108.51,3147.74,3186.72,3102.77,235039400,290302033920,247,653
2010-11-12,3121.92,2985.43,3150.15,2975.16,275732600,303388196864,37,869
2010-11-15,2984.87,3014.41,3016.13,2939.68,182643100,200616001536,736,174
2010-11-16,3007.64,2894.54,3007.64,2885.75,202748600,225428537344,116,799
2010-11-17,2852.48,2838.86,2891.05,2824.12,150755500,162051637248,103,803
2010-11-18,2855.61,2865.45,2873.7,2827.18,128359800,130717966336,737,152
2010-11-19,2879.65,2888.57,2888.75,2806.64,151705000,158924800000,783,108
2010-11-22,2861.61,2884.37,2904.97,2852.77,149004400,165210783744,594,288
2010-11-23,2872.17,2828.28,2872.17,2791.58,138528600,147786465280,178,735
2010-11-24,2794.86,2859.94,2861.48,2794.86,138859400,150474817536,902,19
2010-11-25,2875.86,2898.26,2901.67,2856.96,150993300,169509027840,719,186
2010-11-26,2890.29,2871.7,2894.42,2851.96,124679900,145357275136,301,606
2010-11-29,2861.15,2866.36,2878.83,2841.79,115034100,135520182272,434,458
2010-11-30,2863.41,2820.18,2881.16,2758.92,164585300,176139042816,126,797
2010-12-01,2810.54,2823.45,2834.2,2795.81,93095600,105726959616,493,397
2010-12-02,2860.46,2843.61,2870.81,2841.47,115736800,133725143040,588,289
